ASIN	Unidades	Tipo	Forma	PesoMin	PesoMax	Linha
B08KYJ34XW	1	cão	comprimido	11.4	57	Invicto
B08W148X53	1	cão/gato	comprimido	1	11.4	Capstar
B08KYK6WPW	1	cão	comprimido	0	11.4	Invicto
B084T695FT	1	cão	pipeta	1	10	Fiprolex
B07XWS5LNM	1	gato	pipeta	0	0	Effipro
B07Y2NCRTG	1	cão	shampoo	0	0	Ibasa
B07XWRF2SJ	1	cão	pipeta	2	10	Effipro
B07YN9K7W6	1	cão	pipeta	11	20	Fiprolex
B07Y2MFP18	1	cão	pó	0	0	Ibasa
B095JB9S84	1	cão	comprimido	11.4	999	Capstar
B0DXXM359M	1	cão/gato	comprimido	0	11.4	Capstar
B07Z5GBQ8T	1	cão	pipeta	0	10	Effipro
B07XWSHXDB	1	cão	pipeta	10	20	Effipro
B07Y5MYF1P	1	cão	pó	0	0	Konig
B07Y2DMR3P	1	cão	pipeta	1	10	Frontline
B084B3H2T4	1	cão	pipeta	1	10	Fiprolex
B07Y2F7VFW	1	cão	pipeta	40	67	Vectra 3D
B08R7NHXVS	1	cão	comprimido	11.4	57	Capstar
B07Y2D5TJX	1	gato	pipeta	0	0	Frontline
B084T6BZBV	1	cão	pipeta	40	999	Fiprolex
B084BQ63XZ	1	cão	pipeta	11	20	Fiprolex
B07ZDKWYY6	1	cão	pipeta	10.1	20	Neopet
B07Y2D8T49	2	cão	comprimido	0	5	Milbemax
B0FR9R4WTL	1	cão	comprimido	2	4.5	Wellpet
B0BFX9H19P	1	cão	comprimido	1.3	2.5	Credeli
B07XWRJQX9	1	cão	pipeta	20	40	Effipro
B0DJ9XGWW8	1	cão	pipeta	5.1	10	Banni
B0BFXD8BBH	1	cão	comprimido	2.5	5.5	Credeli
B07NGYCYC2	1	gato	pipeta	0	0	Frontline
B07Y2CXVTZ	1	cão	pipeta	10	20	Frontline
B07Z5GDS4R	1	cão	pó	20.1	40	Neopet
B084BNDGLT	1	gato	pipeta	0	0	Fiprolex
B0BFXFLP3N	1	cão	comprimido	5.5	11	Credeli
B084BPK6YZ	1	cão	pipeta	21	40	Fiprolex
B07Y2D79M3	1	cão	comprimido	18	27	Comfortis
B09PPT5SVJ	1	cão	comprimido	18	27	Comfortis
B07Y2CVT65	1	cão	pipeta	20	40	Frontline
B07Y2CNVKX	1	gato	pipeta	0	10	Vectra
B0D462MW8D	1	cão	comprimido	2	4.5	Defenza
B07Y2NDWKB	1	cão	shampoo	0	0	Ibasa
B0D463TTQ4	1	cão	comprimido	10	20	Defenza
B07Y2DM5BM	1	cão	pipeta	10	20	Frontline
B0C81WVKQ8	1	gato	pipeta	0.9	2	Credeli
B0849TTYCW	1	cão	pipeta	40	999	Fiprolex
B07Y5HC676	1	cão	pipeta	0	10	Frontline
B0C65WSQPT	1	gato	pipeta	2.6	7.5	Banni
B0FR9V4J6F	1	cão	comprimido	10.1	20	Wellpet
B07YN9NBCZ	2	gato	pipeta	1	8	Neopet
B0D4642YL3	1	cão	comprimido	4.5	10	Defenza
B07Y2BXV9N	1	cão	pipeta	20	40	Frontline
B0DNR4SFJF	1	cão	pipeta	10	20	Banni
B0C65XWHCR	1	gato	pipeta	0	2.5	Banni
B0FR9TVT2W	1	cão	comprimido	40.1	56	Wellpet
B0DJ9XYFDS	1	cão	pipeta	20	40	Banni
B07YSTB4VZ	1	cão	pipeta	40	999	Fiprolex
B082T3X4QW	1	cão	pipeta	4	10	Vectra 3D
B0DJ9Y6FLZ	1	cão	pipeta	40	60	Banni
B07Y2CFX2W	1	cão	pipeta	1.5	4	Vectra 3D
B0977TL866	1	cão	comprimido	2	3.5	Nexgard Spectra
B07XZGQ82L	1	cão	comprimido	2	4	Nexgard
B081TKTLGF	3	gato	pipeta	0	10	Vectra
B07XWRLD1S	4	cão	pipeta	2	10	Effipro
B07XZDZWTG	1	cão	comprimido	4.1	10	Nexgard
B09PQD68LZ	1	cão	comprimido	27	54	Comfortis
B0977TDYVS	1	cão	comprimido	3.6	7.5	Nexgard Spectra
B0D463569C	1	cão	comprimido	40	56	Defenza
B0C81WLC16	1	gato	pipeta	2.1	8	Credeli
B07Z5FPK8Y	3	cão	pipeta	1.5	4	Vectra 3D
B084T76P28	1	cão	pipeta	10	25	Vectra 3D
B07MZZMXPC	1	cão	comprimido	10.1	25	Nexgard
B0D463TVK2	1	cão	comprimido	20	40	Defenza
B0849WZ593	3	cão	pipeta	4	10	Vectra 3D
B0BFXFGT56	1	cão	comprimido	11	22	Credeli
B0DJ1D3BGH	1	gato	pipeta	0	2.5	Nexgard Combo
B07XWSF89J	4	gato	pipeta	0	0	Effipro
B084T6VGD4	1	cão	pipeta	25	40	Vectra 3D
B09V3GWHSW	6	cão	comprimido	0	11.4	Invicto
B0BFJTRKTC	1	cão	comprimido	22	45	Credeli
B07XWR1DTH	4	cão	pipeta	10	20	Effipro
B07NDNLCKV	1	cão	coleira	0	0	Leevre
B082T3KB1M	1	cão	pipeta	40	67	Vectra 3D
B0977T9WTB	1	cão	comprimido	7.6	15	Nexgard Spectra
B0BF1BM3CQ	3	gato	pipeta	0	0	Advocate
B0C7DY8SVS	3	cão	comprimido	1.3	2.5	Credeli
B0D98GK6W1	3	gato	pipeta	0	2.5	Banni
B07YNZTV1C	1	cão	comprimido	1.3	2.5	Credeli
B0977TBDC7	1	cão	comprimido	15.1	30	Nexgard Spectra
B07YP192QF	3	cão	comprimido	2.5	5.5	Credeli
